"gameid","eventid","quarter","clock","timeinkey","player","shootername","teamName"
"0021500410",117,1,151.12,3.2,"Koufos","Belinelli","Sacramento Kings"
"0021500410",227,2,269.17,3.72,"Cousins","Gay","Sacramento Kings"
"0021500410",262,2,96.51,3.2,"McLemore","Curry","Sacramento Kings"
"0021500410",262,2,106.07,3.44,"Curry","Curry","Sacramento Kings"
"0021500410",332,3,376.42,3.6,"Oubre","Temple","Washington Wizards"
"0021500410",340,3,313.95,5.28,"Cousins","Collison","Sacramento Kings"
"0021500410",370,3,183.83,3.72,"Koufos","Belinelli","Sacramento Kings"
"0021500411",11,1,642.48,4.32,"Prince","Towns","Minnesota Timberwolves"
"0021500411",103,1,195.34,3.08,"Zeller","Jerebko","Boston Celtics"
"0021500411",242,2,183.58,4.04,"Towns","Wiggins","Minnesota Timberwolves"
"0021500411",337,3,329.38,6.56,"Prince","LaVine","Minnesota Timberwolves"
"0021500411",379,3,76.42,3.88,"LaVine","Wiggins","Minnesota Timberwolves"
"0021500411",379,3,83.16,7.92,"Towns","Wiggins","Minnesota Timberwolves"
"0021500411",393,4,677.9,4,"Jerebko","Turner","Boston Celtics"
"0021500411",393,4,688.35,4.6,"Zeller","Turner","Boston Celtics"
"0021500411",443,4,439.61,3.92,"Zeller","Hunter","Boston Celtics"
"0021500411",518,4,103.99,3.2,"Olynyk","Crowder","Boston Celtics"
"0021500412",12,1,639.85,5.28,"Vucevic","Harris","Orlando Magic"
"0021500412",32,1,453.76,3.28,"Calderon","Afflalo","New York Knicks"
"0021500412",32,1,472,4.36,"Lopez","Afflalo","New York Knicks"
"0021500412",32,1,466.22,6.08,"Porzingis","Afflalo","New York Knicks"
"0021500412",55,1,315.99,3.08,"Porzingis","Calderon","New York Knicks"
"0021500412",135,2,518.99,5.04,"Seraphin","Williams","New York Knicks"
"0021500412",162,2,373,4.08,"Frye","Harris","Orlando Magic"
"0021500412",162,2,365.25,3.04,"Vucevic","Harris","Orlando Magic"
"0021500412",162,2,374.45,4.84,"Fournier","Harris","Orlando Magic"
"0021500412",184,2,252.27,3.08,"Harris","Fournier","Orlando Magic"
"0021500412",243,3,639.38,3.28,"Afflalo","Porzingis","New York Knicks"
"0021500412",261,3,453.75,4.52,"Frye","Napier","Orlando Magic"
"0021500412",429,4,71.07,3.4,"Anthony","Afflalo","New York Knicks"
"0021500413",159,2,547.73,4.96,"Davis","Harkless","Portland Trail Blazers"
"0021500413",159,2,537.05,3.04,"Leonard","Harkless","Portland Trail Blazers"
"0021500413",172,2,464.09,3.8,"Scott","Patterson","Atlanta Hawks"
"0021500413",222,2,208.34,5.48,"Splitter","Millsap","Atlanta Hawks"
"0021500413",330,3,393.17,4.84,"Vonleh","Frazier","Portland Trail Blazers"
"0021500413",352,3,268.42,3.8,"Davis","Harkless","Portland Trail Blazers"
"0021500413",385,3,66.22,8.36,"Davis","Harkless","Portland Trail Blazers"
"0021500413",385,3,68.54,4.36,"Leonard","Harkless","Portland Trail Blazers"
"0021500413",389,3,11.18,4.8,"Davis","Henderson","Portland Trail Blazers"
"0021500413",445,4,489.82,3.96,"Horford","Scott","Atlanta Hawks"
"0021500413",472,4,357.7,3.12,"Muscala","Patterson","Atlanta Hawks"
"0021500413",495,4,250.39,3.16,"Henderson","Crabbe","Portland Trail Blazers"
"0021500414",2,1,703.98,4.12,"Young","Johnson","Brooklyn Nets"
"0021500414",2,1,703.98,6.04,"Lopez","Johnson","Brooklyn Nets"
"0021500414",51,1,342.36,5.24,"Lopez","Bogdanovic","Brooklyn Nets"
"0021500414",56,1,300.57,3.4,"Young","Bogdanovic","Brooklyn Nets"
"0021500414",69,1,221.59,3.2,"Young","Johnson","Brooklyn Nets"
"0021500414",69,1,221.19,3.2,"Lopez","Johnson","Brooklyn Nets"
"0021500414",84,1,147.22,4.36,"Young","Jack","Brooklyn Nets"
"0021500414",96,1,67.2,3.16,"Noah","McDermott","Chicago Bulls"
"0021500414",162,2,369.47,5.36,"Bargnani","Ellington","Brooklyn Nets"
"0021500414",212,2,53.44,4.44,"Lopez","Ellington","Brooklyn Nets"
"0021500414",212,2,49.56,4.84,"Ellington","Ellington","Brooklyn Nets"
"0021500414",261,3,439.1,3.84,"Gibson","Mirotic","Chicago Bulls"
"0021500414",293,3,328.42,3.08,"Noah","Mirotic","Chicago Bulls"
"0021500414",293,3,332.9,3.92,"Gibson","Mirotic","Chicago Bulls"
"0021500414",325,3,186.25,4.56,"Noah","Brooks","Chicago Bulls"
"0021500414",325,3,185.53,5.76,"Gibson","Brooks","Chicago Bulls"
"0021500414",338,3,65.75,4.24,"Lopez","Johnson","Brooklyn Nets"
"0021500414",404,4,448.23,3.28,"Gasol","Rose","Chicago Bulls"
"0021500414",404,4,448.23,4.16,"Portis","Rose","Chicago Bulls"
"0021500414",441,4,265.12,6.84,"Young","Johnson","Brooklyn Nets"
"0021500414",441,4,263.92,3.24,"Lopez","Johnson","Brooklyn Nets"
"0021500415",13,1,667.4,3.6,"Zeller","Hairston","Charlotte Hornets"
"0021500415",47,1,475.01,3.24,"Zeller","Hairston","Charlotte Hornets"
"0021500415",50,1,435.76,4.72,"Zeller","Walker","Charlotte Hornets"
"0021500415",76,1,327.29,3.44,"Howard","Terry","Houston Rockets"
"0021500415",87,1,279.46,4.04,"Zeller","Williams","Charlotte Hornets"
"0021500415",131,1,103.82,3.88,"Hawes","Batum","Charlotte Hornets"
"0021500415",134,1,90.49,3.08,"Beverley","Beverley","Houston Rockets"
"0021500415",136,1,69.05,4.32,"Hawes","Walker","Charlotte Hornets"
"0021500415",159,2,686.36,4.48,"Hawes","Hairston","Charlotte Hornets"
"0021500415",178,2,545.8,3.12,"Hawes","Hairston","Charlotte Hornets"
"0021500415",185,2,497.1,4.4,"Hairston","Lamb","Charlotte Hornets"
"0021500415",187,2,476.92,4.04,"Howard","Thornton","Houston Rockets"
"0021500415",187,2,477.73,3.4,"Brewer","Thornton","Houston Rockets"
"0021500415",208,2,372.98,3.24,"Hawes","Hairston","Charlotte Hornets"
"0021500415",212,2,360.18,3.56,"Howard","Harden","Houston Rockets"
"0021500415",208,2,362.24,3.2,"Jones","Harden","Houston Rockets"
"0021500415",304,3,573.32,4.16,"Batum","Hairston","Charlotte Hornets"
"0021500415",304,3,572.76,3.6,"Zeller","Hairston","Charlotte Hornets"
"0021500415",382,3,264.97,3.32,"Capela","Terry","Houston Rockets"
"0021500415",467,4,682.28,3.4,"Lamb","Kaminsky","Charlotte Hornets"
"0021500415",467,4,683.04,3.36,"Kaminsky","Kaminsky","Charlotte Hornets"
"0021500415",488,4,568.4,4.56,"Hawes","Lamb","Charlotte Hornets"
"0021500415",490,4,544.88,3.76,"Jones","Beverley","Houston Rockets"
"0021500415",490,4,544.88,6.48,"Capela","Beverley","Houston Rockets"
"0021500415",523,4,428.3,3.32,"Hawes","Lin","Charlotte Hornets"
"0021500415",523,4,436.1,3.08,"Lamb","Lin","Charlotte Hornets"
"0021500415",527,4,364.51,4.36,"Capela","Harden","Houston Rockets"
"0021500415",564,4,141.61,3.72,"Howard","Harden","Houston Rockets"
"0021500416",167,2,426.87,5.6,"Duncan","Simmons","San Antonio Spurs"
"0021500416",174,2,388.49,3.6,"Duncan","Green","San Antonio Spurs"
"0021500416",190,2,280.18,3.68,"Allen","Stuckey","Indiana Pacers"
"0021500416",195,2,259.63,5.6,"Duncan","Leonard","San Antonio Spurs"
"0021500416",194,2,261.71,3.76,"Parker","Leonard","San Antonio Spurs"
"0021500416",241,3,711.91,3.12,"George","Hill","Indiana Pacers"
"0021500416",270,3,482.76,3.92,"Duncan","Green","San Antonio Spurs"
"0021500416",293,3,367.37,4.32,"Duncan","Ginobili","San Antonio Spurs"
"0021500416",304,3,284.56,4.88,"Aldridge","Leonard","San Antonio Spurs"
"0021500417",33,1,482.85,3.16,"Favors","Hood","Utah Jazz"
"0021500417",60,1,263.01,3.08,"Favors","Hood","Utah Jazz"
"0021500417",71,1,188.89,5,"Chandler","Knight","Phoenix Suns"
"0021500417",111,2,682.08,4.08,"Withey","Burks","Utah Jazz"
"0021500417",121,2,553.21,3.44,"Goodwin","Knight","Phoenix Suns"
"0021500417",220,2,39.07,3.12,"Withey","Hayward","Utah Jazz"
"0021500417",394,4,630.71,5.8,"Booker","Neto","Utah Jazz"
"0021500417",403,4,575.8,3.36,"Lyles","Hayward","Utah Jazz"
"0021500418",15,1,632.59,4.16,"Ibaka","Durant","Oklahoma City Thunder"
"0021500418",51,1,375.56,6.12,"Redick","Redick","Los Angeles Clippers"
"0021500418",51,1,372.44,3.6,"Mbah a Moute","Redick","Los Angeles Clippers"
"0021500418",75,1,194.36,3.88,"Redick","Redick","Los Angeles Clippers"
"0021500418",170,2,494.51,5.36,"Jordan","Crawford","Los Angeles Clippers"
"0021500418",188,2,382.28,3.2,"Collison","Westbrook","Oklahoma City Thunder"
"0021500418",225,2,229.72,3.2,"Ibaka","Durant","Oklahoma City Thunder"
"0021500418",336,3,415.47,3.04,"Redick","Paul","Los Angeles Clippers"
"0021500418",336,3,414.55,6.28,"Jordan","Paul","Los Angeles Clippers"
"0021500418",336,3,426.78,3.72,"Mbah a Moute","Paul","Los Angeles Clippers"
"0021500418",364,3,182.83,8.8,"Crawford","Paul","Los Angeles Clippers"
"0021500418",364,3,175.03,5.92,"Jordan","Paul","Los Angeles Clippers"
"0021500418",416,4,545.59,4.8,"Aldrich","Johnson","Los Angeles Clippers"
"0021500418",479,4,121.15,4.44,"Durant","Durant","Oklahoma City Thunder"
"0021500418",486,4,68.05,3.36,"Griffin","Redick","Los Angeles Clippers"
"0021500418",490,4,55.85,5.56,"Adams","Westbrook","Oklahoma City Thunder"
"0021500419",7,1,681.45,3.4,"Okafor","Canaan","Philadelphia 76ers"
"0021500419",108,1,49.32,4.52,"Noel","Thompson","Philadelphia 76ers"
"0021500419",237,2,229.51,5.32,"Okafor","Covington","Philadelphia 76ers"
"0021500419",266,2,110.64,4.32,"Noel","Stauskas","Philadelphia 76ers"
"0021500419",356,3,238.92,3.12,"Canaan","Thompson","Philadelphia 76ers"
"0021500419",477,4,294.02,3.72,"Noel","Covington","Philadelphia 76ers"
"0021500419",477,4,296.38,3.04,"Okafor","Covington","Philadelphia 76ers"
"0021500419",516,4,116.78,3.4,"Holmes","Stauskas","Philadelphia 76ers"
"0021500420",28,1,497.41,3.4,"Drummond","Jackson","Detroit Pistons"
"0021500420",29,1,478.68,3.4,"Whiteside","Bosh","Miami Heat"
"0021500420",146,2,491.51,3.68,"Johnson","Blake","Detroit Pistons"
"0021500420",148,2,479.44,3.16,"Bosh","Bosh","Miami Heat"
"0021500420",171,2,283.28,4.56,"Whiteside","Deng","Miami Heat"
"0021500420",176,2,237.92,4.16,"Drummond","Johnson","Detroit Pistons"
"0021500420",193,2,127.12,8.92,"Whiteside","Deng","Miami Heat"
"0021500420",352,4,539.94,3.12,"Baynes","Blake","Detroit Pistons"
"0021500420",360,4,445.57,3.8,"Baynes","Blake","Detroit Pistons"
"0021500420",369,4,405.99,4.56,"Drummond","Jackson","Detroit Pistons"
"0021500420",369,4,391.9,3.12,"Whiteside","Winslow","Miami Heat"
"0021500420",402,4,215.36,5.36,"Drummond","Tolliver","Detroit Pistons"
"0021500421",100,1,163.91,3.04,"Powell","Felton","Dallas Mavericks"
"0021500421",193,2,384.35,5.2,"McGee","Matthews","Dallas Mavericks"
"0021500421",210,2,304.78,3.32,"McGee","Villanueva","Dallas Mavericks"
"0021500421",228,2,176.9,3.48,"Pachulia","Nowitzki","Dallas Mavericks"
"0021500421",274,3,558.87,3.36,"Biyombo","DeRozan","Toronto Raptors"
"0021500421",320,3,264.22,3.2,"Biyombo","Ross","Toronto Raptors"
"0021500421",373,4,655.95,3.16,"Powell","Nowitzki","Dallas Mavericks"
"0021500421",381,4,602.71,3.88,"Biyombo","DeRozan","Toronto Raptors"
"0021500422",22,1,577.8,4.72,"Lauvergne","Papanikolaou","Denver Nuggets"
"0021500422",25,1,553.97,3.52,"Nance Jr.","Williams","Los Angeles Lakers"
"0021500422",94,1,265.69,3.88,"Bass","Bryant","Los Angeles Lakers"
"0021500422",279,2,31.48,5.16,"Faried","Nelson","Denver Nuggets"
"0021500422",296,3,682.58,3.28,"Lauvergne","Papanikolaou","Denver Nuggets"
"0021500422",314,3,551.53,3.08,"Bryant","Williams","Los Angeles Lakers"
"0021500422",317,3,554.7,4.24,"Hibbert","Williams","Los Angeles Lakers"
"0021500422",451,4,421.99,3.16,"Bass","Bryant","Los Angeles Lakers"
"0021500422",512,4,79.9,6.2,"Faried","Arthur","Denver Nuggets"
"0021500422",516,4,62.62,3.24,"Bryant","Bryant","Los Angeles Lakers"
"0021500422",516,4,66.23,4.4,"Bass","Bryant","Los Angeles Lakers"
"0021500423",41,1,418.91,5.72,"Sullinger","Thomas","Boston Celtics"
"0021500423",61,1,304.09,4.52,"Zeller","Williams","Charlotte Hornets"
"0021500423",230,2,223.18,3.64,"Williams","Williams","Charlotte Hornets"
"0021500423",323,3,620.86,5.48,"Zeller","Hairston","Charlotte Hornets"
"0021500423",364,3,365.8,5.76,"Zeller","Batum","Charlotte Hornets"
"0021500423",383,3,284.45,3.24,"Sullinger","Crowder","Boston Celtics"
"0021500423",385,3,264.98,3.12,"Zeller","Kaminsky","Charlotte Hornets"
"0021500423",408,3,140.75,3.08,"Hansbrough","Batum","Charlotte Hornets"
"0021500423",458,4,583.62,4.88,"Lamb","Kaminsky","Charlotte Hornets"
"0021500423",509,4,370.33,4.44,"Zeller","Lamb","Charlotte Hornets"
"0021500423",541,4,207.06,6.36,"Zeller","Batum","Charlotte Hornets"
"0021500424",68,1,242.1,3.12,"Thompson","Shumpert","Cleveland Cavaliers"
"0021500424",95,1,66.06,5.92,"Thompson","Shumpert","Cleveland Cavaliers"
"0021500424",195,2,366.24,3.16,"Porzingis","Williams","New York Knicks"
"0021500424",311,3,533.69,5.76,"Porzingis","Porzingis","New York Knicks"
"0021500424",348,3,236.15,4.52,"Lopez","Calderon","New York Knicks"
"0021500424",471,4,361.39,3.12,"Thompson","Dellavedova","Cleveland Cavaliers"
"0021500425",60,1,363.19,3.08,"George","Hill","Indiana Pacers"
"0021500425",137,2,592.99,3.44,"Belinelli","Belinelli","Sacramento Kings"
"0021500425",137,2,597.63,7.64,"Cousins","Belinelli","Sacramento Kings"
"0021500425",210,2,206.77,3.64,"Mahinmi","George","Indiana Pacers"
"0021500425",270,3,690.36,3.92,"Mahinmi","Ellis","Indiana Pacers"
"0021500425",315,3,410.01,3.2,"Mahinmi","Ellis","Indiana Pacers"
"0021500425",335,3,277.66,4.8,"Miles","Ellis","Indiana Pacers"
"0021500425",428,4,382.37,3.16,"Mahinmi","Miles","Indiana Pacers"
"0021500425",445,4,305.57,3.6,"Rondo","Gay","Sacramento Kings"
"0021500425",468,4,85.51,5.76,"Miles","Miles","Indiana Pacers"
"0021500425",471,4,56.64,5.2,"Hill","George","Indiana Pacers"
"0021500426",11,1,626.71,4.8,"Vucevic","Frye","Orlando Magic"
"0021500426",143,2,686.49,3.32,"Howard","Thornton","Houston Rockets"
"0021500426",190,2,396.98,8.12,"Howard","Beverley","Houston Rockets"
"0021500426",201,2,298.93,4.48,"Vucevic","Gordon","Orlando Magic"
"0021500426",215,2,238.96,3.08,"Vucevic","Frye","Orlando Magic"
"0021500426",216,2,190.08,3.44,"Vucevic","Fournier","Orlando Magic"
"0021500426",327,3,125.19,3.4,"Vucevic","Oladipo","Orlando Magic"
"0021500426",327,3,127.1,4.64,"Harris","Oladipo","Orlando Magic"
"0021500426",362,4,609.12,3.08,"Howard","Thornton","Houston Rockets"
"0021500427",42,1,387.72,5.92,"Dudley","Temple","Washington Wizards"
"0021500427",123,2,682.58,5.12,"Blair","Humphries","Washington Wizards"
"0021500427",186,2,453.31,6.6,"Green","Carter","Memphis Grizzlies"
"0021500427",207,2,352.16,3.72,"Gortat","Wall","Washington Wizards"
"0021500427",349,3,209.05,3.36,"Randolph","Green","Memphis Grizzlies"
"0021500427",437,4,468.04,3.24,"Gasol","Conley","Memphis Grizzlies"
"0021500427",438,4,458.44,3.36,"Gortat","Sessions","Washington Wizards"
"0021500427",479,4,269.86,6.12,"Gortat","Temple","Washington Wizards"
"0021500428",11,1,663.57,3.28,"Pachulia","Barea","Dallas Mavericks"
"0021500428",35,1,426.14,4,"Young","Bogdanovic","Brooklyn Nets"
"0021500428",36,1,421.29,3.32,"Lopez","Bogdanovic","Brooklyn Nets"
"0021500428",261,3,546.87,3.96,"Pachulia","Nowitzki","Dallas Mavericks"
"0021500428",373,4,633.51,3.68,"Jenkins","Jenkins","Dallas Mavericks"
"0021500428",373,4,633.51,3.12,"Powell","Jenkins","Dallas Mavericks"
"0021500428",411,4,414.99,4.72,"Lopez","Johnson","Brooklyn Nets"
"0021500428",471,4,31.75,3.48,"Young","Young","Brooklyn Nets"
"0021500429",40,1,517.66,3.52,"Drummond","Ilyasova","Detroit Pistons"
"0021500429",42,1,488.98,3.64,"Drummond","Ilyasova","Detroit Pistons"
"0021500429",52,1,434.45,3.8,"Morris","Ilyasova","Detroit Pistons"
"0021500429",52,1,430.21,4.84,"Jackson","Ilyasova","Detroit Pistons"
"0021500429",67,1,283.09,4.2,"Drummond","Caldwell-Pope","Detroit Pistons"
"0021500429",156,2,664.42,3.2,"Horford","Bazemore","Atlanta Hawks"
"0021500429",250,2,343.48,5.44,"Millsap","Millsap","Atlanta Hawks"
"0021500429",260,2,307.11,3.2,"Millsap","Teague","Atlanta Hawks"
"0021500429",311,2,45.78,4.84,"Tolliver","Caldwell-Pope","Detroit Pistons"
"0021500429",355,3,496,5.28,"Drummond","Ilyasova","Detroit Pistons"
"0021500429",386,3,287.79,3.72,"Splitter","Sefolosha","Atlanta Hawks"
"0021500429",435,3,37.04,9.64,"Baynes","Blake","Detroit Pistons"
"0021500429",461,4,647.96,4.12,"Scott","Horford","Atlanta Hawks"
"0021500429",463,4,634.92,3.12,"Drummond","Johnson","Detroit Pistons"
"0021500429",575,4,71.45,4.32,"Horford","Horford","Atlanta Hawks"
"0021500430",65,1,296.88,4.08,"Noel","Thompson","Philadelphia 76ers"
"0021500430",237,2,153.38,5.52,"Noel","Covington","Philadelphia 76ers"
"0021500430",352,3,195.18,3.96,"Landry","Holmes","Philadelphia 76ers"
"0021500430",371,3,52.45,3.32,"Antetokounmpo","Vaughn","Milwaukee Bucks"
"0021500430",397,4,596.13,4.48,"Landry","Thompson","Philadelphia 76ers"
"0021500430",447,4,363.44,3.36,"Okafor","Covington","Philadelphia 76ers"
"0021500430",452,4,323.56,4.4,"Noel","Covington","Philadelphia 76ers"
"0021500431",76,1,201.35,9.88,"Aldridge","Diaw","San Antonio Spurs"
"0021500431",76,1,203.55,3.32,"Leonard","Diaw","San Antonio Spurs"
"0021500431",158,2,388.55,3.32,"Anderson","Green","San Antonio Spurs"
"0021500431",173,2,315.4,4,"Duncan","Green","San Antonio Spurs"
"0021500431",173,2,317.72,3.68,"Aldridge","Green","San Antonio Spurs"
"0021500431",271,3,511.91,3.28,"Towns","Rubio","Minnesota Timberwolves"
"0021500431",326,3,201.2,5.4,"Diaw","Leonard","San Antonio Spurs"
"0021500431",326,3,212.45,7.24,"Aldridge","Leonard","San Antonio Spurs"
"0021500431",407,4,422.19,6.32,"West","Leonard","San Antonio Spurs"
"0021500431",419,4,344.56,3.52,"Simmons","Leonard","San Antonio Spurs"
"0021500432",24,1,510.45,3.72,"Asik","Davis","New Orleans Pelicans"
"0021500432",75,1,204.27,4.88,"Plumlee","McCollum","Portland Trail Blazers"
"0021500432",89,1,153.46,3.6,"Gordon","Cole","New Orleans Pelicans"
"0021500432",196,2,434.7,7.04,"Davis","Harkless","Portland Trail Blazers"
"0021500432",196,2,430.43,3.48,"Harkless","Harkless","Portland Trail Blazers"
"0021500432",245,2,208.57,3.2,"Davis","Anderson","New Orleans Pelicans"
"0021500432",452,4,704.2,5.16,"Plumlee","Leonard","Portland Trail Blazers"
"0021500432",486,4,518,4,"Asik","Holiday","New Orleans Pelicans"
"0021500432",488,4,486.35,3.12,"Plumlee","Crabbe","Portland Trail Blazers"
"0021500432",488,4,486.51,3.28,"Frazier","Crabbe","Portland Trail Blazers"
"0021500432",491,4,470.31,3.52,"Asik","Evans","New Orleans Pelicans"
"0021500432",538,4,205.81,3.6,"Montero","Leonard","Portland Trail Blazers"
"0021500432",560,4,108.51,4.96,"Vonleh","Montero","Portland Trail Blazers"
"0021500432",560,4,109.23,4.2,"Frazier","Montero","Portland Trail Blazers"
"0021500433",6,1,688.7,6.16,"Len","Warren","Phoenix Suns"
"0021500433",272,3,537.54,3.36,"Tucker","Price","Phoenix Suns"
"0021500433",302,3,375.14,4.16,"Jokic","Barton","Denver Nuggets"
"0021500433",319,3,286.88,4.12,"Jokic","Arthur","Denver Nuggets"
"0021500434",134,2,518.88,3.84,"Booker","Ingles","Utah Jazz"
"0021500434",212,2,45.08,5.68,"Curry","Green","Golden State Warriors"
"0021500434",258,3,494.84,4.12,"Favors","Hayward","Utah Jazz"
"0021500434",258,3,486.75,3.04,"Booker","Hood","Utah Jazz"
"0021500434",332,3,90.19,3.6,"Lyles","Hood","Utah Jazz"
"0021500435",16,1,626.27,3.92,"Clarkson","Bryant","Los Angeles Lakers"
"0021500435",69,1,314.87,3.6,"Sacre","Bryant","Los Angeles Lakers"
"0021500435",104,1,151.95,3.32,"Collison","Waiters","Oklahoma City Thunder"
"0021500435",104,1,152.75,3.6,"Kanter","Waiters","Oklahoma City Thunder"
"0021500435",168,2,490.51,4.36,"Hibbert","Russell","Los Angeles Lakers"
"0021500435",190,2,355.36,6.2,"Hibbert","Bryant","Los Angeles Lakers"
"0021500435",193,2,302.74,3.32,"Ibaka","Ibaka","Oklahoma City Thunder"
"0021500435",244,2,22.11,3.96,"Sacre","Williams","Los Angeles Lakers"
"0021500435",244,2,14.49,4.72,"Clarkson","Williams","Los Angeles Lakers"
"0021500435",321,3,307.2,6.2,"Bass","Bryant","Los Angeles Lakers"
"0021500435",321,3,304.7,3.92,"Hibbert","Bryant","Los Angeles Lakers"
"0021500435",321,3,307.2,4.52,"Clarkson","Bryant","Los Angeles Lakers"
"0021500435",481,4,265.88,3.08,"Huertas","Russell","Los Angeles Lakers"
"0021500435",489,4,203.32,3.16,"Brown","Russell","Los Angeles Lakers"
"0021500436",15,1,612.75,3.44,"Whiteside","Bosh","Miami Heat"
"0021500436",40,1,444.01,4.32,"Bosh","Bosh","Miami Heat"
"0021500436",41,1,439.75,6.68,"Whiteside","Bosh","Miami Heat"
"0021500436",118,1,72.1,3.04,"Gee","Davis","New Orleans Pelicans"
"0021500436",153,2,603.72,3.64,"Davis","Anderson","New Orleans Pelicans"
"0021500436",367,3,163,3.36,"Davis","Anderson","New Orleans Pelicans"
"0021500436",372,3,153.88,5.44,"Bosh","Green","Miami Heat"
"0021500436",372,3,146.68,3.24,"Deng","Green","Miami Heat"
"0021500436",424,4,507.21,4.68,"Wade","Winslow","Miami Heat"
"0021500436",424,4,510.88,4.92,"Whiteside","Winslow","Miami Heat"
"0021500436",478,4,190.45,3.28,"Bosh","Dragic","Miami Heat"
"0021500436",494,4,136.96,3.92,"Bosh","Green","Miami Heat"
"0021500437",111,1,228.01,4.88,"Kanter","Augustin","Oklahoma City Thunder"
"0021500437",148,1,81.75,3.52,"Gasol","Butler","Chicago Bulls"
"0021500437",179,2,681.52,5.24,"Collison","Augustin","Oklahoma City Thunder"
"0021500437",179,2,687.2,3.64,"Kanter","Augustin","Oklahoma City Thunder"
"0021500437",246,2,285.44,3.48,"Ibaka","Durant","Oklahoma City Thunder"
"0021500437",293,2,68.25,3.84,"Gasol","Snell","Chicago Bulls"
"0021500437",293,2,68.25,3.96,"Gibson","Snell","Chicago Bulls"
"0021500437",458,4,578.25,4.88,"Durant","Westbrook","Oklahoma City Thunder"
"0021500437",544,4,108.51,4.92,"Gibson","Rose","Chicago Bulls"
"0021500437",544,4,102.8,3.48,"McDermott","Rose","Chicago Bulls"
"0021500438",17,1,552.58,4.4,"Mozgov","Smith","Cleveland Cavaliers"
"0021500438",37,1,456.12,3.2,"Bogut","Green","Golden State Warriors"
"0021500438",37,1,457.29,3.88,"Curry","Green","Golden State Warriors"
"0021500438",97,1,168.13,4.32,"Smith","James","Cleveland Cavaliers"
"0021500438",97,1,169.28,4.12,"Thompson","James","Cleveland Cavaliers"
"0021500438",168,2,524.23,3.2,"James","Love","Cleveland Cavaliers"
"0021500438",273,2,21.45,3.92,"Green","Green","Golden State Warriors"
"0021500438",289,3,672.62,3.4,"Mozgov","Irving","Cleveland Cavaliers"
"0021500438",312,3,468.3,3.08,"Mozgov","James","Cleveland Cavaliers"
"0021500438",417,4,586.19,3.28,"Thompson","Irving","Cleveland Cavaliers"
"0021500438",421,4,585.67,4.28,"Shumpert","Irving","Cleveland Cavaliers"
"0021500438",542,4,19.01,3.12,"Thompson","James","Cleveland Cavaliers"
"0021500438",542,4,19.01,5.52,"Thompson","Smith","Cleveland Cavaliers"
"0021500439",18,1,594.2,3.68,"Howard","Beverley","Houston Rockets"
"0021500439",18,1,595.12,4.96,"Capela","Beverley","Houston Rockets"
"0021500439",40,1,388.59,4.88,"Duncan","Green","San Antonio Spurs"
"0021500439",40,1,396.71,3.44,"Aldridge","Green","San Antonio Spurs"
"0021500439",101,1,52.28,3.88,"Diaw","Ginobili","San Antonio Spurs"
"0021500439",101,1,57.91,3.16,"Aldridge","Ginobili","San Antonio Spurs"
"0021500439",378,4,689.36,3.44,"West","Mills","San Antonio Spurs"
"0021500439",398,4,554.68,4.04,"West","Diaw","San Antonio Spurs"
"0021500439",421,4,425.12,3.88,"Aldridge","Leonard","San Antonio Spurs"
"0021500439",481,4,227.6,4.64,"Howard","Harden","Houston Rockets"
"0021500439",529,4,96.65,3.96,"Duncan","Leonard","San Antonio Spurs"
"0021500439",529,4,98.56,6.48,"Aldridge","Leonard","San Antonio Spurs"
"0021500440",35,1,422.01,4.6,"Jordan","Paul","Los Angeles Clippers"
"0021500440",78,1,147.86,3.44,"Randle","Russell","Los Angeles Lakers"
"0021500440",140,2,568.28,3.24,"Randle","Young","Los Angeles Lakers"
"0021500440",193,2,347.39,3.12,"Hibbert","Clarkson","Los Angeles Lakers"
"0021500440",310,3,419.76,3.88,"Hibbert","Williams","Los Angeles Lakers"
"0021500440",327,3,247.95,3.56,"Jordan","Redick","Los Angeles Clippers"
"0021500440",329,3,221,3.24,"Hibbert","Russell","Los Angeles Lakers"
"0021500440",336,3,210.71,5.76,"Jordan","Redick","Los Angeles Clippers"
"0021500440",458,4,239.16,7.4,"Jordan","Johnson","Los Angeles Clippers"
"0021500440",481,4,85.22,3.8,"Huertas","Russell","Los Angeles Lakers"
"0021500440",487,4,35.11,7.44,"Jordan","Griffin","Los Angeles Clippers"
"0021500441",29,1,522.55,3.64,"Monroe","Antetokounmpo","Milwaukee Bucks"
"0021500441",29,1,531.08,3.6,"Antetokounmpo","Antetokounmpo","Milwaukee Bucks"
"0021500441",192,2,383.36,4.28,"Scola","Lowry","Toronto Raptors"
"0021500441",192,2,379.52,3.24,"Patterson","Lowry","Toronto Raptors"
"0021500441",231,2,217.95,8.92,"Biyombo","DeRozan","Toronto Raptors"
"0021500441",241,2,138.54,3.2,"Antetokounmpo","Middleton","Milwaukee Bucks"
"0021500441",297,3,586.76,4.68,"Monroe","Antetokounmpo","Milwaukee Bucks"
"0021500442",10,1,624.29,4.2,"Lopez","Porzingis","New York Knicks"
"0021500442",31,1,451.12,5.52,"Lopez","Porzingis","New York Knicks"
"0021500442",33,1,437.26,5.56,"Millsap","Teague","Atlanta Hawks"
"0021500442",84,1,150.21,6.6,"O'Quinn","Williams","New York Knicks"
