"player","teamName","count","countdeepkey","games"
"Hayes","Houston Rockets",3,0,43
"Hayward","Utah Jazz",9,3,42
"Henderson","Portland Trail Blazers",6,1,44
"Henson","Milwaukee Bucks",17,11,43
"Hezonja","Orlando Magic",4,1,41
"Hibbert","Los Angeles Lakers",61,36,44
"Hickson","Denver Nuggets",22,11,43
"Hill","Indiana Pacers",40,17,41
"Holiday","Atlanta Hawks",1,0,41
"Holiday","New Orleans Pelicans",8,7,42
"Hollins","Memphis Grizzlies",2,0,43
"Hollins","Washington Wizards",3,2,40
"Hollis-Jefferson","Brooklyn Nets",6,2,41
"Holmes","Philadelphia 76ers",30,12,39
"Hood","Utah Jazz",8,3,42
"Horford","Atlanta Hawks",54,23,41
"Howard","Houston Rockets",109,52,43
"Huertas","Los Angeles Lakers",4,2,44
"Humphries","Washington Wizards",10,6,40
"Hunter","Boston Celtics",4,2,39
"Ibaka","Oklahoma City Thunder",44,29,44
"Iguodala","Golden State Warriors",12,6,41
"Ilyasova","Detroit Pistons",26,12,42
"Ingles","Utah Jazz",2,2,42
"Irving","Cleveland Cavaliers",2,1,36
"Jack","Brooklyn Nets",2,2,41
"Jackson","Detroit Pistons",8,5,42
"James","Cleveland Cavaliers",17,5,36
"Jefferson","Charlotte Hornets",50,14,42
"Jefferson","Cleveland Cavaliers",4,2,36
"Jenkins","Dallas Mavericks",1,1,43
"Jennings","Detroit Pistons",1,1,42
"Jerebko","Boston Celtics",11,4,39
"Johnson","Boston Celtics",58,26,39
"Johnson","Brooklyn Nets",4,3,41
"Johnson","Detroit Pistons",9,2,42
"Johnson","Los Angeles Clippers",8,1,38
"Johnson","Miami Heat",3,2,42
"Johnson","Toronto Raptors",5,3,41
"Johnson","Utah Jazz",1,0,42
"Jokic","Denver Nuggets",54,29,43
"Jones","Cleveland Cavaliers",4,0,36
"Jones","Houston Rockets",53,22,43
"Jordan","Los Angeles Clippers",103,49,38
"Joseph","Toronto Raptors",3,1,41
"Kaminsky","Charlotte Hornets",13,5,42
"Kanter","Oklahoma City Thunder",65,31,44
"Kaun","Cleveland Cavaliers",2,0,36
"Kelly","Los Angeles Lakers",2,1,44
"Knight","Phoenix Suns",5,3,41
"Korver","Atlanta Hawks",2,0,41
"Koufos","Sacramento Kings",45,20,39
"Lamb","Charlotte Hornets",19,11,42
"Landry","Philadelphia 76ers",9,2,39
"Lauvergne","Denver Nuggets",19,8,43
"LaVine","Minnesota Timberwolves",4,1,41
"Lawson","Houston Rockets",3,2,43
"Lee","Boston Celtics",11,5,39
"Lee","Memphis Grizzlies",14,4,43
"Len","Phoenix Suns",36,12,41
"Leonard","Portland Trail Blazers",28,17,44
"Leonard","San Antonio Spurs",10,4,40
"Leuer","Phoenix Suns",16,8,41
"Lillard","Portland Trail Blazers",5,2,44
"Lin","Charlotte Hornets",10,4,42
"Livingston","Golden State Warriors",13,5,41
"Lopez","Brooklyn Nets",64,32,41
"Lopez","New York Knicks",99,43,44
"Love","Cleveland Cavaliers",25,11,36
"Lowry","Toronto Raptors",16,5,41
"Lyles","Utah Jazz",32,4,42
"Mahinmi","Indiana Pacers",30,11,41
"Marjanovic","San Antonio Spurs",13,5,40
"Martin","Minnesota Timberwolves",10,3,41
"Matthews","Dallas Mavericks",9,5,43
"Mayo","Milwaukee Bucks",2,2,43
"Mbah a Moute","Los Angeles Clippers",18,6,38
"McAdoo","Golden State Warriors",4,3,41
"McCollum","Portland Trail Blazers",13,6,44
"McConnell","Philadelphia 76ers",2,0,39
"McDaniels","Houston Rockets",1,1,43
"McDermott","Chicago Bulls",3,0,38
"McGary","Oklahoma City Thunder",2,1,44
"McGee","Dallas Mavericks",24,8,43
"McLemore","Sacramento Kings",15,7,39
"McRoberts","Miami Heat",8,3,42
"Mejri","Dallas Mavericks",1,1,43
"Mickey","Boston Celtics",1,1,39
"Middleton","Milwaukee Bucks",13,6,43
"Miles","Indiana Pacers",5,4,41
"Miller","Denver Nuggets",2,1,43
"Miller","Minnesota Timberwolves",1,1,41
"Mills","San Antonio Spurs",2,0,40
"Millsap","Atlanta Hawks",83,36,41
"Mirotic","Chicago Bulls",25,8,38
"Monroe","Milwaukee Bucks",34,14,43
"Montero","Portland Trail Blazers",1,1,44
"Moore","Chicago Bulls",3,1,38
"Moreland","Sacramento Kings",1,0,39
"Morris","Detroit Pistons",14,5,42
"Morris","Phoenix Suns",14,4,41
"Morrow","Oklahoma City Thunder",8,3,44
"Motiejunas","Houston Rockets",9,4,43
"Mozgov","Cleveland Cavaliers",45,21,36
"Mudiay","Denver Nuggets",4,2,43
"Muhammad","Minnesota Timberwolves",18,8,41
"Muscala","Atlanta Hawks",17,6,41
"Nance Jr.","Los Angeles Lakers",16,4,44
"Napier","Orlando Magic",5,3,41
"Neal","Washington Wizards",2,1,40
"Nelson","Denver Nuggets",6,3,43
"Nene","Washington Wizards",12,6,40
"Neto","Utah Jazz",2,2,42
"Nicholson","Orlando Magic",14,4,41
"Noah","Chicago Bulls",37,19,38
"Noel","Philadelphia 76ers",47,21,39
"Nogueira","Toronto Raptors",5,3,41
"Nowitzki","Dallas Mavericks",11,4,43
"Nurkic","Denver Nuggets",7,4,43
"O'Bryant","Milwaukee Bucks",17,7,43
"O'Quinn","New York Knicks",27,9,44
"Okafor","Philadelphia 76ers",70,27,39
"Oladipo","Orlando Magic",10,5,41
"Olynyk","Boston Celtics",14,9,39
"Oubre","Washington Wizards",5,3,40
"Pachulia","Dallas Mavericks",87,47,43
"Papanikolaou","Denver Nuggets",1,0,43
"Parker","Milwaukee Bucks",6,2,43
"Parker","San Antonio Spurs",6,3,40
"Parsons","Dallas Mavericks",5,1,43
"Patterson","Atlanta Hawks",1,0,41
"Patterson","Toronto Raptors",2,2,41
"Paul","Los Angeles Clippers",5,3,38
"Payne","Minnesota Timberwolves",5,3,41
"Payton","Orlando Magic",10,4,41
"Pekovic","Minnesota Timberwolves",3,2,41
"Perkins","New Orleans Pelicans",2,2,42
"Pierce","Los Angeles Clippers",7,2,38
"Pleiss","Utah Jazz",5,2,42
"Plumlee","Milwaukee Bucks",7,4,43
"Plumlee","Portland Trail Blazers",52,21,44
"Porter","Washington Wizards",29,10,40
"Portis","Chicago Bulls",5,2,38
"Porzingis","New York Knicks",51,22,44
"Powell","Dallas Mavericks",27,7,43
"Prigioni","Los Angeles Clippers",2,0,38
"Prince","Minnesota Timberwolves",10,2,41
"Randle","Los Angeles Lakers",42,19,44
"Randolph","Memphis Grizzlies",57,24,43
"Redick","Los Angeles Clippers",12,5,38
"Reed","Brooklyn Nets",8,3,41
"Rivers","Los Angeles Clippers",1,0,38
"Roberson","Oklahoma City Thunder",9,5,44
"Roberts","Charlotte Hornets",1,1,42
"Robinson","Brooklyn Nets",24,15,41
"Robinson","New Orleans Pelicans",1,1,42
"Rondo","Sacramento Kings",5,2,39
"Rose","Chicago Bulls",4,2,38
"Ross","Toronto Raptors",4,0,41
"Rozier","Boston Celtics",1,0,39
"Rubio","Minnesota Timberwolves",1,1,41
"Rush","Golden State Warriors",1,1,41
"Russell","Los Angeles Lakers",9,2,44
"Sacre","Los Angeles Lakers",8,3,44
"Sampson","Philadelphia 76ers",6,2,39
"Schroder","Atlanta Hawks",1,1,41
"Scola","Toronto Raptors",19,9,41
"Scott","Atlanta Hawks",25,9,41
"Sefolosha","Atlanta Hawks",2,1,41
"Seraphin","New York Knicks",17,10,44
"Sessions","Washington Wizards",9,5,40
"Shumpert","Cleveland Cavaliers",4,4,36
"Simmons","San Antonio Spurs",2,1,40
"Singler","Oklahoma City Thunder",5,3,44
"Smith","Cleveland Cavaliers",5,3,36
"Smith","Los Angeles Clippers",13,6,38
"Smith","Memphis Grizzlies",1,0,43
"Smith","New Orleans Pelicans",2,0,42
"Smith","Orlando Magic",13,1,41
"Smith","Philadelphia 76ers",1,0,39
"Snell","Chicago Bulls",3,0,38
"Speights","Golden State Warriors",16,7,41
"Splitter","Atlanta Hawks",29,8,41
"Stauskas","Philadelphia 76ers",3,2,39
"Stephenson","Los Angeles Clippers",7,5,38
"Stokes","Memphis Grizzlies",1,0,43
"Stokes","Miami Heat",1,0,42
"Stoudemire","Miami Heat",6,2,42
"Stuckey","Indiana Pacers",4,1,41
"Sullinger","Boston Celtics",49,22,39
"Tavares","Atlanta Hawks",4,3,41
"Teague","Atlanta Hawks",7,3,41
"Teletovic","Phoenix Suns",8,4,41
"Temple","Washington Wizards",10,2,40
"Terry","Houston Rockets",8,4,43
"Thomas","Boston Celtics",10,2,39
"Thomas","New York Knicks",19,6,44
"Thompson","Cleveland Cavaliers",67,34,36
"Thompson","Golden State Warriors",21,10,41
"Thompson","Philadelphia 76ers",10,5,39
"Thornton","Houston Rockets",6,4,43
"Tolliver","Detroit Pistons",20,15,42
"Towns","Minnesota Timberwolves",47,18,41
"Tucker","Phoenix Suns",21,10,41
"Turner","Boston Celtics",11,4,39
